Channel,Region,Fresh,Milk,Frozen,Delicassen,Household_Items,k_cluster,h_cluster
2,1,2362,6551,913,791,17321,1.0,1.0
1,1,2806,10765,1374,2388,21366,0.0,2.0
2,1,2532,16599,179,674,49794,1.0,1.0
1,1,18044,1475,2532,1158,2176,1.0,3.0
2,1,18,7504,1285,6372,20002,1.0,1.0
1,1,4155,367,2306,130,1476,1.0,1.0
1,1,14755,899,1765,749,1438,0.0,3.0
1,1,5396,7503,91,239,14813,1.0,1.0
1,1,5041,1115,7496,375,3112,0.0,3.0
2,1,2790,2527,5612,1360,6053,1.0,1.0
1,1,7274,659,784,659,1569,0.0,3.0
1,1,12680,3243,660,786,4918,1.0,1.0
2,1,20782,5921,1759,1553,11780,1.0,1.0
1,1,4042,2204,2286,689,1826,1.0,1.0
1,1,1869,577,950,203,5334,1.0,1.0
1,1,8656,2746,6845,980,3195,1.0,1.0
2,1,11072,5989,8321,2137,6570,1.0,1.0
1,1,2344,10678,1439,490,5394,1.0,1.0
1,1,25962,1780,638,834,4122,0.0,2.0
1,1,964,4984,937,7,3725,0.0,2.0
1,1,15603,2703,4260,2563,4158,0.0,3.0
1,1,1838,6380,1218,295,4040,1.0,1.0
1,1,8635,820,2312,225,3462,1.0,1.0
1,1,18692,3838,4634,1215,621,1.0,1.0
1,1,7363,475,1112,216,657,1.0,1.0
1,1,47493,2567,5243,2253,4607,1.0,1.0
1,1,22096,3575,11422,2564,7384,0.0,2.0
1,1,24929,1801,2216,1047,2887,1.0,1.0
1,1,18226,659,3752,578,3500,0.0,2.0
1,1,11210,3576,561,2398,6801,0.0,2.0
1,1,6202,7775,1183,1970,13960,1.0,1.0
2,1,3062,6154,230,2784,22849,0.0,1.0
1,1,8885,2428,1777,610,2207,1.0,1.0
1,1,13569,346,2077,659,533,1.0,1.0
1,1,15671,5279,559,572,2968,1.0,1.0
1,1,8040,3795,6340,291,2988,0.0,1.0
1,1,3191,1993,1730,710,2033,1.0,1.0
2,1,6134,23133,6746,5121,52180,1.0,1.0
1,1,6623,1860,7683,1693,4945,1.0,1.0
1,1,29526,7961,432,1391,17329,0.0,3.0
1,1,10379,17972,4686,3265,6295,0.0,2.0
1,1,31614,489,3242,615,1606,0.0,3.0
1,1,11092,5008,453,373,5641,1.0,1.0
1,1,8475,1931,5004,987,5476,0.0,2.0
1,1,56083,4563,6422,3321,2854,1.0,1.0
1,1,53205,4959,3012,818,8303,1.0,1.0
1,1,9193,4885,327,548,2937,0.0,1.0
1,1,7858,1110,6818,287,1143,0.0,3.0
1,1,23257,1372,982,655,2106,1.0,1.0
1,1,2153,1115,4324,411,9578,0.0,1.0
2,1,1073,9679,61,1265,21425,1.0,3.0
1,1,5909,23527,10155,3636,14529,1.0,1.0
2,1,572,9763,2221,2563,27064,1.0,1.0
1,1,20893,1222,3975,3628,3313,1.0,1.0
2,1,11908,8053,1069,698,26221,0.0,2.0
1,1,15218,258,2516,204,1471,1.0,1.0
1,1,4720,1032,5500,56,1172,0.0,2.0
1,1,2083,5007,1120,1550,1710,1.0,1.0
1,1,514,8323,529,1040,6962,1.0,1.0
1,3,36817,3045,4802,1824,1703,1.0,1.0
1,3,894,1703,744,1153,2600,1.0,1.0
1,3,680,1610,862,379,319,1.0,1.0
1,3,27901,3749,4479,2503,7567,1.0,1.0
1,3,9061,829,16919,139,1304,1.0,1.0
1,3,11693,2317,5845,1409,2817,1.0,1.0
2,3,17360,6200,1293,1721,13314,0.0,1.0
1,3,3366,2884,977,1104,2598,1.0,1.0
2,3,12238,7108,1093,2079,8563,1.0,1.0
1,3,49063,3965,5970,1404,5293,0.0,3.0
1,3,25767,3613,10303,1384,2327,1.0,1.0
1,3,68951,4411,8692,2406,13360,0.0,1.0
1,3,40254,640,1042,18,4036,1.0,1.0
1,3,7149,2247,1619,128,2468,0.0,1.0
1,3,15354,2102,8366,1027,3214,0.0,2.0
1,3,16260,594,848,258,1741,0.0,3.0
1,3,42786,286,1388,22,503,0.0,2.0
1,3,2708,2160,502,1522,3607,0.0,3.0
1,3,6022,3354,2507,686,3473,0.0,3.0
1,3,2838,3086,3838,1060,5154,0.0,3.0
2,2,3996,11103,902,741,18421,0.0,3.0
1,2,21273,2013,909,1854,7361,0.0,3.0
2,2,7588,1897,417,254,7442,0.0,2.0
1,2,19087,1304,3045,898,4353,1.0,1.0
2,2,8090,3199,1455,531,10698,1.0,1.0
2,2,6758,4560,934,1037,14503,0.0,3.0
1,2,444,879,264,259,2350,1.0,1.0
2,2,16448,6243,824,2005,9022,1.0,1.0
2,2,5283,13316,1809,172,29151,0.0,3.0
2,2,2886,5302,364,555,16021,1.0,1.0
2,2,2599,3688,492,59,23898,1.0,2.0
2,2,161,7460,617,2410,36556,0.0,3.0
2,2,243,12939,799,211,12761,1.0,1.0
2,2,6468,12867,1840,1543,29128,0.0,1.0
1,2,17327,2374,1149,925,3193,1.0,1.0
1,2,6987,1020,416,656,3264,0.0,2.0
2,2,918,20655,1465,806,20413,0.0,1.0
1,2,7034,1492,12569,1117,2704,1.0,1.0
1,2,29635,2335,3046,117,8651,1.0,1.0
2,2,2137,3737,1274,142,36292,1.0,1.0
1,2,9784,925,4447,297,2588,1.0,1.0
1,2,10617,1795,1483,1233,8504,1.0,2.0
2,2,1479,14982,662,3508,15815,1.0,1.0
1,2,7127,1375,2679,1059,2284,0.0,3.0
1,2,1182,3088,978,1637,6935,1.0,1.0
1,2,11800,2713,2121,51,4264,1.0,1.0
2,2,9759,25071,1128,1625,30053,1.0,1.0
1,2,1774,3696,514,834,2555,0.0,2.0
1,2,9155,1897,2714,1113,5395,1.0,1.0
1,2,15881,713,3703,229,4785,1.0,1.0
1,2,13360,944,915,573,13272,0.0,2.0
1,2,25977,3587,2369,1092,2604,1.0,1.0
1,2,32717,16784,60869,5609,14898,1.0,1.0
1,2,4414,1610,3498,834,1818,1.0,1.0
1,2,542,899,414,522,1752,1.0,1.0
1,2,16933,2209,7849,1534,3599,0.0,3.0
1,2,5113,1486,5127,739,5075,0.0,3.0
1,2,9790,1786,3570,1043,5291,0.0,3.0
2,2,11223,14881,1234,1102,36445,0.0,3.0
1,2,22321,3216,2208,2602,1625,1.0,1.0
2,2,16823,928,11559,3486,3075,0.0,2.0
2,2,27082,6817,1365,2139,14901,0.0,2.0
1,2,13970,1511,650,778,1476,1.0,1.0
1,2,9351,1347,8170,868,3053,0.0,2.0
1,2,3,333,15601,550,7036,1.0,1.0
1,2,2617,1188,9584,1942,5905,0.0,3.0
2,3,381,4025,388,1371,16941,1.0,3.0
2,3,2320,5763,767,2158,16400,0.0,3.0
1,3,255,5758,349,1328,10518,1.0,1.0
2,3,1689,6964,1456,37,41785,0.0,3.0
1,3,3043,1172,2234,379,1980,1.0,1.0
1,3,1198,2602,402,303,12178,0.0,3.0
2,3,2771,6939,2693,1115,22141,0.0,1.0
2,3,27380,7184,2809,1022,16932,0.0,3.0
1,3,3428,2380,1341,665,3212,1.0,1.0
2,3,5981,14641,2005,445,32739,1.0,1.0
1,3,3521,1099,1796,995,2170,0.0,1.0
2,3,1210,10044,1741,3137,34932,0.0,1.0
1,3,608,1106,830,195,1623,1.0,1.0
2,3,117,6264,228,1111,29885,0.0,2.0
1,3,14039,7393,6386,2341,3881,1.0,1.0
1,3,190,727,245,127,2196,1.0,1.0
1,3,22686,134,3157,548,227,1.0,1.0
2,3,37,1275,137,110,29019,1.0,1.0
1,3,759,18664,6114,4100,2196,1.0,2.0
1,3,796,5878,340,776,2341,1.0,1.0
1,3,19746,2872,2601,503,2474,1.0,1.0
1,3,4734,607,1206,405,1023,0.0,2.0
1,3,2121,1601,560,712,2632,1.0,1.0
1,3,4627,997,191,314,5773,1.0,3.0
1,3,2615,873,1103,468,2038,0.0,2.0
2,3,4692,6128,1619,3105,12540,1.0,1.0
1,3,9561,2217,1173,447,1886,0.0,1.0
1,3,3477,894,1457,342,786,0.0,3.0
1,3,22335,1196,2046,558,2507,1.0,1.0
1,3,6211,337,1089,296,724,1.0,1.0
2,3,39679,3944,1364,2235,5478,1.0,2.0
1,3,20105,1887,8164,790,2655,1.0,1.0
1,3,3884,3801,876,4829,2038,0.0,2.0
2,3,15076,6257,1504,3113,9314,1.0,1.0
1,3,6338,2256,1492,686,1979,0.0,1.0
1,3,5841,1450,597,70,1638,1.0,1.0
2,3,3136,8630,5641,1426,18252,1.0,1.0
1,3,38793,3154,1034,1242,2744,1.0,1.0
1,3,3225,3294,282,1114,1970,1.0,1.0
2,3,4048,5164,130,179,11204,0.0,1.0
1,3,28257,944,3881,270,2746,0.0,3.0
1,3,17770,4591,9927,532,1863,1.0,1.0
1,3,34454,7435,2540,2893,10180,1.0,1.0
1,3,1821,1364,4006,361,3847,1.0,1.0
1,3,10683,21858,3635,5120,15682,0.0,2.0
1,3,11635,922,2583,1068,1806,1.0,1.0
1,3,1206,3620,1945,967,3210,1.0,1.0
1,3,20918,1916,1960,961,1804,1.0,1.0
1,3,9785,848,1677,406,1372,1.0,1.0
1,3,9385,1530,3019,684,1649,1.0,1.0
1,3,3352,1181,5502,1000,1639,0.0,1.0
1,3,2647,2761,907,1827,2408,0.0,1.0
1,3,518,4180,659,654,3722,1.0,1.0
1,3,23632,6730,8620,819,4227,1.0,1.0
1,3,12377,865,1398,452,3353,1.0,1.0
1,3,9602,1316,2921,290,2104,0.0,2.0
2,3,4515,11991,2644,2213,12723,0.0,1.0
1,3,11535,1666,6838,743,1492,1.0,2.0
1,3,11442,1032,5390,247,656,1.0,2.0
1,3,9612,577,1601,375,1404,0.0,1.0
1,3,4446,906,3576,1014,1391,0.0,3.0
1,3,27167,2801,13223,1902,2220,1.0,1.0
1,3,26539,4753,220,340,5101,1.0,1.0
1,3,25606,11006,127,288,5236,0.0,2.0
1,3,18073,4613,4324,715,4358,0.0,3.0
1,3,6884,1046,2069,378,1760,0.0,3.0
1,3,25066,5010,9806,960,6118,0.0,3.0
2,3,7362,12844,2854,553,26566,0.0,1.0
2,3,8257,3880,1646,344,9137,0.0,3.0
1,3,8708,3634,2349,5137,8223,0.0,2.0
1,3,6633,2096,1389,1892,6423,1.0,1.0
1,3,2126,3289,1535,4365,3516,1.0,1.0
1,3,97,3605,98,62,15370,0.0,1.0
1,3,4983,4859,17866,2435,7545,1.0,1.0
1,3,5969,1990,5679,290,4552,0.0,2.0
2,3,7842,6046,1691,1874,12092,1.0,2.0
2,3,4389,10940,848,993,17636,0.0,3.0
1,3,5065,5499,364,1063,14540,0.0,2.0
2,3,660,8494,133,776,25362,0.0,3.0
1,3,8861,3783,633,1521,3803,1.0,1.0
1,3,4456,5266,25,1393,20045,1.0,1.0
2,3,17063,4847,1031,1784,12468,1.0,1.0
1,3,26400,1377,830,1218,5120,0.0,1.0
2,3,17565,3686,1059,668,6460,1.0,2.0
2,3,16980,2884,874,249,15445,1.0,1.0
1,3,11243,2408,15348,1886,2701,0.0,2.0
1,3,13134,9347,3141,1894,19395,1.0,1.0
1,3,31012,16687,15082,1163,5868,0.0,3.0
1,3,3047,5970,2198,317,5760,,
1,3,8607,1750,47,2501,3664,,
1,3,3097,4230,575,2080,16724,,
1,3,8533,5506,13486,1498,6537,,
1,3,21117,1162,269,395,6082,,
1,3,1982,3218,1541,1449,1849,,
1,3,16731,3922,688,838,10365,,
1,3,29703,12051,13135,2204,16209,,
1,3,39228,1431,4510,2346,857,,
2,3,14531,15488,437,1867,45084,,
1,3,10290,1981,1038,2125,2400,,
1,3,2787,1698,65,52,2987,,
