Channel,Region,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen,Total_Purchases,Fresh_Ratio,Milk_Ratio,Grocery_Ratio,Frozen_Ratio,Detergents_Paper_Ratio,Delicassen_Ratio
1,3,20398,1137,3,4407,3,975,26923,0.7576421646918992,0.20550316112653305,0.010555988338229063,0.40458502086896436,0.010555988338229063,0.190300786083424
1,3,717,3587,6532,7530,529,894,19789,0.03623225024003234,0.4257491250127097,0.574527953186679,0.6168585147398342,0.1634993053225984,0.21254790817601213
2,3,12205,12697,28540,869,12034,1009,67354,0.18120675832170324,0.43417904945036156,0.6509464878066595,0.11358688559960588,0.4226912982361208,0.12239505923074087
1,3,10766,1175,2067,2096,301,167,16572,0.6496500120685493,0.2662756607205312,0.35316916292251754,0.3556380144144393,0.13477079352497767,0.10038545071825074
1,3,1640,3259,3655,868,1202,1653,12277,0.1335831229127637,0.5152239612316708,0.5456291480696968,0.26589718199953155,0.312900391051543,0.36693598013988565
1,3,7005,829,3009,430,610,529,12412,0.5643731872381567,0.25843800616265106,0.4923684431950676,0.18612870011572005,0.22168894368864375,0.20644622815064484
2,3,219,9540,14403,283,7818,156,32419,0.00675529781918011,0.5424683194460672,0.6665406998218151,0.09343151920008792,0.49107522673425597,0.06936853009172965
2,3,10362,9232,11009,737,3537,2342,37219,0.2784061903866305,0.49804151752622744,0.5438655944140425,0.14071856373002922,0.3082727805970649,0.2508482613272689
1,3,20874,1563,1783,2320,550,772,27862,0.7491924484961596,0.2368499760047347,0.25297029525638903,0.28856114229124447,0.1404996365534557,0.1664571697951498
2,3,11867,3327,4814,1178,3837,120,25143,0.4719802728393589,0.3637624386883576,0.4375669334200274,0.2164532432713592,0.39064957117566423,0.06908473170761217
1,3,43265,5025,8117,6312,1579,14351,78649,0.5501023534946408,0.25276761491836985,0.3212559429324733,0.2832936843175461,0.14169171681288753,0.4271638377681477
1,3,7864,542,4042,9735,165,46,22394,0.35116549075645265,0.15557284947621874,0.4248467669481129,0.6593289434806812,0.08583731712988706,0.045322418732068194
1,3,24904,3836,5330,3443,454,3178,41145,0.6052740308664479,0.30533793625516525,0.35991924669156067,0.2892743843855864,0.1050435506208664,0.27791911177403694
1,3,11405,596,1638,3347,69,360,17415,0.6548952052828022,0.18499559631915347,0.3066868884468647,0.43839552946244303,0.06294522727356094,0.14377703093791788
1,3,12754,2762,2530,8693,627,1117,28483,0.44777586630621774,0.3114002609652535,0.2980350870385285,0.5524487240817276,0.1483682265154124,0.19803124672544348
2,3,9198,27472,32034,3232,18906,5130,95972,0.09584045346559412,0.53502351004006,0.5777411651559247,0.18351154997969832,0.44384113921809704,0.23119924412662926
1,3,11314,3090,2062,35009,71,2698,54244,0.20857606371211562,0.23867305168961084,0.19497030758341424,0.8033670203755152,0.03617873026462108,0.2230206714528677
2,3,5626,12220,11323,206,5038,244,34657,0.16233372767406296,0.5937998995331473,0.5715908532585775,0.07709711501818163,0.3812708462937415,0.0839072388642363
1,3,3,2920,6252,440,223,709,10547,0.0002844410732909832,0.5261710539389483,0.7699189546558839,0.20424990595512532,0.1454078853247985,0.2592738069835999
2,3,23,2616,8118,145,3874,217,14993,0.0015340492229707196,0.4177097373354416,0.7358346811046358,0.09834215720608248,0.508318057304786,0.12030553158424273
1,3,403,254,610,774,54,63,2158,0.18674698795180722,0.34307663215803674,0.5316663785597363,0.5988868264994543,0.15818713475337637,0.17086163369345578
1,3,503,112,778,895,56,132,2476,0.2031502423263328,0.2126834473774777,0.5605501567126978,0.6012238460720116,0.15038990788674672,0.2308934672416322
1,3,9658,2182,1909,5639,215,323,19926,0.48469336545217306,0.3309156525850135,0.3095229822861045,0.5319747073218346,0.10387455277420911,0.12731840760307978
2,3,11594,7779,12144,3252,8035,3029,45833,0.2529618397224707,0.41197678420796063,0.5147445259503327,0.266370500048926,0.41870080713269486,0.257075384596579
2,3,1420,10810,16267,1593,6766,1838,38694,0.036698196102754946,0.5285560318284526,0.648383448105458,0.20290188149761867,0.41816163297175607,0.21794702230818053
2,3,2932,6459,7677,2561,4573,1386,25588,0.11458496170079725,0.5024171680847561,0.5477439625331167,0.3163636796506431,0.422748844941817,0.23273593474081544
1,3,14100,2132,3445,1336,1491,548,23052,0.6116605934409162,0.30411601757056644,0.38658082420843204,0.2407403699696524,0.2543223431839641,0.15418281614604454
1,3,15587,1014,3970,910,139,1378,22998,0.6777545873554222,0.20997807148252898,0.41548009147160464,0.1989187224576572,0.07774319151166673,0.2447820535929802
2,3,1454,6337,10704,133,6830,1831,27289,0.05328154201326542,0.4818901429383218,0.6262954254268401,0.06981231021341765,0.5002839166063557,0.2590301765098078
2,3,8797,10646,14886,2471,8969,1438,47207,0.18634948206833732,0.47488672552536143,0.5615466055538749,0.22878796306619045,0.4358818756398358,0.1745324728728317
2,3,1531,8397,6981,247,2505,1236,20897,0.07326410489543954,0.6338990563098099,0.5779853726263284,0.1087192643989664,0.3462277661835779,0.2432020682810378
2,3,1406,16729,28986,673,836,3,48633,0.028910410626529312,0.586501949910118,0.772020110818517,0.1176364748777359,0.1311105407129589,0.00785407595840826
1,3,11818,1648,1694,2276,169,1647,19252,0.6138583004363183,0.29257733327869556,0.2966325304019532,0.3438335112845105,0.09369262909718754,0.2924885524138754
2,3,12579,11114,17569,805,6457,1519,50043,0.25136382710868654,0.4712631997695417,0.5925184156271792,0.12683124968763929,0.3592061177511796,0.17422369428335865
1,3,19046,2770,2469,8853,483,2708,36329,0.5242643618046189,0.27612972651207823,0.2606956732051984,0.49364928274806164,0.11530465577490924,0.27302197769188546
1,3,14438,2295,1733,3220,585,1561,23832,0.605824102047667,0.31032095265319926,0.269661556060653,0.3675764598604917,0.156674272918568,0.25593000574680097
1,3,18044,1080,2000,2555,118,1266,25063,0.7199457367434066,0.20758470475371693,0.28248700280716893,0.3192853009135931,0.0686158545712554,0.22475032363914568
1,3,11134,793,2988,2715,276,610,18516,0.6013177792179737,0.20694884533174723,0.40171376234424994,0.38292289259336193,0.12209024211501047,0.181506144384539
1,3,11173,2521,3355,1517,310,222,19098,0.585035082207561,0.36332265431190036,0.41913344572357586,0.28183754416075457,0.1274051262113924,0.10781583301431442
1,3,6990,3880,5380,1647,319,1160,19376,0.36075557390586294,0.4474904793953311,0.526937461523405,0.2915511351539878,0.1283108194635669,0.24467913230791247
1,3,20049,1891,2362,5343,411,933,30989,0.6469715060182646,0.247025611717809,0.2760807751446415,0.4152300790974091,0.11516410317697512,0.17351500651215734
1,3,8258,2344,2147,3896,266,635,17546,0.4706485808731335,0.3655019860580499,0.34980576265016966,0.4712164158016107,0.12312656277848286,0.19023823156416447
1,3,17160,1200,3412,2417,174,1136,25499,0.6729675673555826,0.21693471148215293,0.3657993561872671,0.3078766488436118,0.08260627707170634,0.21107052540971513
1,3,4020,3234,1498,2395,264,255,11666,0.34459111949254245,0.5265129066843419,0.3583396957666655,0.4530976115235195,0.15043225905266913,0.1478458383185304
1,3,12212,201,245,1991,25,860,15534,0.7861465173168534,0.11375130252353802,0.12558604733480902,0.3580090289181531,0.04011699126659132,0.23529222425945465
2,3,11170,10769,8814,2194,1976,143,35066,0.3185421776079393,0.5541719940458661,0.5013527585346225,0.2501354221706989,0.2373834054761621,0.06385941040316508
1,3,36050,1642,2961,4787,500,1621,47561,0.7579739702697589,0.1858065791608135,0.24951330856351578,0.3172533561280588,0.10253201998221469,0.18461458941355383
1,3,76237,3473,7102,16538,778,918,105046,0.7257487196085525,0.18182878292530338,0.26001630004016907,0.3967817914608001,0.08605974177218105,0.09348277176054891
1,3,19219,1840,1658,8195,349,483,31744,0.605437247983871,0.2407565361052932,0.22853958681579759,0.5080935171574416,0.10485324806143231,0.12335101860269569
2,3,21465,7243,10685,880,2386,2749,45408,0.47271405919661735,0.39938620101558736,0.4850886088349463,0.13921151159742612,0.22922872181790838,0.246048761331537
1,3,140,8847,3823,142,1062,3,14017,0.009987871869872298,0.7944571481420515,0.5222453867574528,0.10065066196368316,0.2752546862946645,0.014629621518787758
1,3,42312,926,1510,1718,410,1819,48695,0.8689187801622343,0.1378996958354529,0.17609470143971165,0.18783191862398835,0.09175922635750085,0.19327432466682795
1,3,7149,2428,699,6316,395,911,17898,0.39943010392222594,0.36831727542435433,0.1976224758899375,0.5940442667882686,0.14855808619062996,0.22560926809032292
1,3,2101,589,314,346,70,310,3730,0.5632707774798927,0.39737746184828676,0.2901418715560145,0.3045675526084101,0.1369918100915948,0.2882879108999293
1,3,14903,2032,2479,576,955,328,21273,0.7005593945376769,0.3090633315425025,0.3413688533321256,0.16454961543964206,0.21187870786649887,0.12417167851153016
1,3,9434,1042,1235,436,256,396,12799,0.7370888350652395,0.2853289511426844,0.3106314752737346,0.18456749806162986,0.1414268808327464,0.17589746212219712
1,3,7388,1882,2174,720,47,537,12748,0.5795418889237527,0.3842277982412571,0.4129607181726693,0.23765405057879999,0.06071946013973711,0.20524194207097224
1,3,6300,1289,2591,1170,199,326,11875,0.5305263157894737,0.329465276502779,0.46710756115075946,0.3138890182683582,0.12945228749173227,0.16568835679958735
1,3,4625,8579,7030,4575,2447,1542,28798,0.1606014306549066,0.5458045732010964,0.49407911774882574,0.3985789745736105,0.2914981621795689,0.2313987577671653
1,3,3087,8080,8282,661,721,36,20867,0.1479369339147937,0.6222654270912109,0.6299957287925311,0.17797980299628455,0.18588212314113267,0.04153567210621947
1,3,13537,4257,5034,155,249,3271,26503,0.5107723653925971,0.40077839969395296,0.4358219377489333,0.07647479664160566,0.09692864804461661,0.35131181333651423
1,3,5387,4979,3343,825,637,929,16100,0.3345962732919255,0.5561066969432154,0.45567505039533934,0.22636748005145244,0.19891007362952826,0.24021212158015104
1,3,17623,4280,7305,2279,960,2616,35063,0.5026095884550666,0.34937944343339006,0.4564419733320448,0.2549456620364848,0.1654668810031041,0.2731456785888073
1,3,30379,13252,5189,321,51,1450,50642,0.5998775719758304,0.5115467021053854,0.3201005430295335,0.07961540189628305,0.031734354114634544,0.16921099400243417
1,3,37036,7152,8253,2995,20,3,55459,0.667808651436196,0.3591101957765208,0.3857624092132321,0.2323873032384338,0.0189901756001646,0.007354863384099194
1,3,10405,1596,1096,8425,399,318,22239,0.46787175682359816,0.26789142727662957,0.22199727811940223,0.6154989655334017,0.13394571363831478,0.11957927956340855
1,3,18827,3677,1988,118,516,201,25327,0.7433568918545426,0.38102628793841814,0.2801665710562391,0.06825730365109316,0.14273582042094196,0.08908532188278566
2,3,22039,8384,34792,42,12591,4430,82278,0.26786018133644474,0.31921535343371876,0.6502761624755256,0.02259346194622841,0.39119045433117833,0.23203847359715113
1,3,7769,1936,2177,926,73,520,13401,0.579732855757033,0.3800879251351191,0.4030515641835319,0.2628674969375218,0.07380619672510061,0.19698495982544717
1,3,9203,3373,2707,1286,1082,526,18177,0.5062991692798592,0.4307716036442562,0.3859073269364299,0.2659863688581256,0.2439790448587696,0.17011075357586236
1,3,5924,584,542,4052,283,434,11819,0.5012268381419748,0.2222880198911368,0.2141456598947249,0.5855235294475178,0.15474009225235236,0.1916260283265581
1,3,31812,1433,1651,800,113,1440,37249,0.8540363499691267,0.19613982622536474,0.21053108449647714,0.1465506282251912,0.055078475713651036,0.19661830011409615
1,3,16225,1825,1765,853,170,1067,21905,0.7406984706687971,0.2886421864540225,0.28385773045490476,0.1973344396636826,0.08809531888163198,0.22070419140786354
1,3,1289,3328,2022,531,255,1774,9199,0.1401239265137515,0.6014802192755819,0.468835259666547,0.24025749856316203,0.1664944575407293,0.43914353985028437
1,3,18840,1371,3135,3001,352,184,26883,0.7008146412230778,0.22582907797365462,0.34149150656645166,0.33411358296574994,0.11442804173902198,0.08273133749086821
1,3,3463,9250,2368,779,302,1627,17789,0.19467086401708922,0.721099341239413,0.36485061401016494,0.20926324776174202,0.1302949861102694,0.3024252225495312
1,3,622,55,137,75,7,8,904,0.6880530973451328,0.24665909260475635,0.38929252826938726,0.2880357647409632,0.08799637965199708,0.09407208683835973
2,3,1989,10690,19460,233,11577,2153,46102,0.043143464491779096,0.4815362312323981,0.6496980073535598,0.07109156540679211,0.5011158430899385,0.2161036646885127
2,3,3830,5291,14855,317,6694,3182,34169,0.11208990605519623,0.39350725736969866,0.6593563509260465,0.09631933970347341,0.4426156030886341,0.30516445982001467
1,3,17773,1366,2474,3378,811,418,26220,0.6778413424866514,0.22824906438544257,0.30717332867946295,0.35893307446525474,0.17587093943545645,0.12626174791086667
2,3,2861,6570,9618,930,4004,1682,25665,0.11147477108903175,0.5059551845207487,0.6121695902666383,0.1903578714645689,0.39498117743502204,0.25600141242548213
2,3,355,7704,14682,398,8077,303,31519,0.011263047685523019,0.4943925547814145,0.6825058759873947,0.11237127820640512,0.5062194484774516,0.09804717819144802
2,3,1725,3651,12822,824,4424,2157,25603,0.06737491700191384,0.37762478269660665,0.7076727262085512,0.17939823987241346,0.4156828730030824,0.290254956365205
1,3,12434,540,283,1092,3,2233,16585,0.7497135966234549,0.18044262732125557,0.1306277600562639,0.256598185655159,0.013449399357632941,0.36693287492405224
1,3,15177,2024,3810,2665,232,610,24518,0.6190146015172526,0.2873179332146128,0.39420303850389943,0.3296902366978935,0.09727505210217757,0.15773293960022883
2,3,5531,15726,26870,2367,13726,446,64666,0.0855318096062846,0.493141028615402,0.6446082125029623,0.19132033383534383,0.4607167461742225,0.08304804825740408
2,3,5224,7603,8584,2540,3674,238,27863,0.18748878440943187,0.5223703975978586,0.555048479142174,0.3019276736866251,0.3631245725525506,0.09242182521836012
2,3,15615,12653,19858,4425,7108,2379,62038,0.2517005706180083,0.4516144817115111,0.5657686239552523,0.26707162155437886,0.33848919915007897,0.1958250863839159
2,3,4822,6721,9170,993,4973,3637,30316,0.1590579232088666,0.47084829107425585,0.5499823072877844,0.18098337180025245,0.4050170260585127,0.3463663566060089
1,3,2926,3195,3268,405,1680,693,12167,0.24048656201199967,0.5124407725069554,0.5182618845221663,0.18244659291658313,0.3715890321453494,0.2386573770794043
1,3,5809,735,803,1393,79,429,9248,0.628135813148789,0.2819160222453061,0.29466860161049824,0.38810715354107783,0.09242503742629805,0.2153796840570119
1,3,5414,717,2155,2399,69,750,11504,0.47061891515994436,0.2496520527193436,0.4328119076769745,0.45665759747888546,0.07744619919094664,0.255332557426154
2,3,260,8675,13430,1116,7015,323,30819,0.008436354197086214,0.53054896337416,0.6601288827158266,0.1902930056917107,0.4770946716749356,0.10237454622157056
2,3,200,25862,19816,651,8773,6250,61552,0.0032492851572654014,0.6482014067294124,0.5673968394182823,0.1028417385447119,0.37753131449384014,0.31865366962353314
1,3,955,5479,6536,333,2840,707,16850,0.05667655786350148,0.5702308346168019,0.6228107056515518,0.14057955497142674,0.4105435349208192,0.2048376356368472
2,3,514,7677,19805,937,9836,716,39485,0.013017601620868685,0.44094020444690984,0.7082251616361297,0.15404716998774556,0.49910645750177346,0.13466056737487664
1,3,286,1208,5241,2515,153,1442,10845,0.026371599815583218,0.3337480131536394,0.6951720485175671,0.4815642254916761,0.1187766130912453,0.3646429757577664
2,3,2343,7845,11874,52,4196,1697,28007,0.08365765701431785,0.5292528169906121,0.6511262836133445,0.04308919455583951,0.38706548274828,0.24615441263245363
1,3,45640,6958,6536,7368,1532,230,68264,0.6685808039376538,0.3192613501194055,0.30942838844439585,0.32853295674576094,0.14980748613362366,0.05804543252657151
1,3,12759,7330,4533,1752,20,2631,29025,0.4395865633074935,0.5025344893696643,0.39519072685769746,0.245686298164841,0.026249974365271926,0.3010747329684797
1,3,11002,7075,4945,1152,120,395,24689,0.44562355704969825,0.535317538424432,0.44753952657889307,0.21601031473879906,0.06971702929936593,0.1264872638140502
1,3,3157,4888,2500,4477,273,2165,17460,0.18081328751431844,0.5291069655420432,0.37839717432208314,0.50637403377816,0.1250429479483554,0.3521330842866876
1,3,12356,6036,8887,402,1382,2794,31857,0.3878582415167781,0.43528347277012897,0.5281717301468833,0.11233383580947975,0.20828192541488372,0.2961493359233544
1,3,694,8533,10518,443,6907,156,27251,0.0254669553410884,0.5595767363034048,0.6212628167141937,0.12750013401192123,0.5034467088735857,0.07566082583863801
1,3,327,918,4710,74,334,11,6374,0.05130216504549733,0.3795030853354194,0.8596158685604964,0.10774815200763566,0.22891128528242488,0.04154227850842036
1,3,8170,6448,1139,2181,58,247,18243,0.4478430082771474,0.5945171474407674,0.24986977916405698,0.34576394425558565,0.05638529639851089,0.11635909842003357
1,3,3009,521,854,3470,949,727,9530,0.3157397691500525,0.2338150227163535,0.29935222123940447,0.6034180361390272,0.31556342123678605,0.27619814351401356
1,3,2438,8002,9819,6269,3459,3,29990,0.08129376458819607,0.5165484237623457,0.5721967636912961,0.45720492719182587,0.3396151441686843,0.010001667083449108
